protocol, port, name
TCP/UDP,993,IMAP4 protocol over TLS/SSL
TCP/UDP,994,IRC protocol over TLS/SSL
TCP/UDP,995,POP3 protocol over TLS/SSL
TCP/UDP,996,vsinet
TCP/UDP,997,maitrd
TCP/UDP,998,busboy
TCP/UDP,999,puprouter
TCP/UDP,1000,cadlock
TCP,1002,Microsoft Site Server Internet Locator Service (Netmeeting/ICF)
TCP/UDP,1008,UFS-aware server
TCP/UDP,1010,surf
TCP,1011,Doly (Windows Trojan)
TCP,1015,Doly (Windows Trojan)
TCP/UDP,1023,Reserved
TCP/UDP,1024,Reserved
TCP/UDP,1025,MSTASK / network blackjack
TCP,1026,MSTASK / Remote Login Network Terminal
TCP/UDP,1030,BBN IAD
TCP/UDP,1031,InetInfo / BBN IAD
TCP/UDP,1032,BBN IAD
TCP,1042,W32.Mydoom.L virus
TCP/UDP,1047,Sun's NEO Object Request Broker
TCP/UDP,1048,Sun's NEO Object Request Broker
TCP/UDP,1049,Tobit David Postman VPMN
TCP/UDP,1050,CORBA Management Agent
TCP/UDP,1051,Optima VNET
TCP/UDP,1052,Dynamic DNS Tools
TCP/UDP,1053,Remote Assistant (RA)
TCP/UDP,1054,BRVREAD
TCP/UDP,1055,ANSYS - License Manager
TCP/UDP,1056,VFO
TCP/UDP,1057,STARTRON
TCP/UDP,1058,nim
TCP/UDP,1059,nimreg
TCP/UDP,1060,POLESTAR
TCP/UDP,1061,KIOSK
TCP/UDP,1062,Veracity
TCP/UDP,1063,KyoceraNetDev
TCP/UDP,1064,JSTEL
TCP/UDP,1065,SYSCOMLAN
TCP/UDP,1066,FPO-FNS
TCP/UDP,1067,Installation Bootstrap Proto. Serv.
TCP/UDP,1068,Installation Bootstrap Proto. Cli.
TCP/UDP,1069,COGNEX-INSIGHT
TCP/UDP,1070,GMRUpdateSERV
TCP/UDP,1071,BSQUARE-VOIP
TCP/UDP,1072,CARDAX
TCP/UDP,1073,BridgeControl
TCP/UDP,1074,FASTechnologies License Manager
TCP/UDP,1075,RDRMSHC
TCP/UDP,1076,DAB STI-C
TCP/UDP,1077,IMGames
